MAGs	Tax
GL34_UP_metabat.132	Chlorophyta
19497_metabat_res.171	Euglenozoa
10021_metabat_res.89	Fungi
10168_metabat_res.19	Fungi
11244_metabat_res.104	Fungi
1133_metabat_res.110	Fungi
13569_metabat_res.166	Fungi
13633_metabat_res.108	Fungi
1577_metabat_res.105	Fungi
16514_metabat_res.202	Fungi
18871_metabat_res.9	Fungi
19374_metabat_res.59	Fungi
22560_metabat_res.2	Fungi
31447_metabat_res.26	Fungi
6969_metabat_res.17	Fungi
10889_metabat_res.175	Metazoa
11996_metabat_res.197	Metazoa
24009_metabat_res.38	Metazoa
31156_metabat_res.3	Metazoa
GL106_DN_metabat.72	Metazoa
GL117_UP_metabat.16	Metazoa
GL24_UP_metabat.106	Metazoa
GL24_UP_metabat.25	Metazoa
GL45_UP_metabat.31	Metazoa
GL99_UP_metabat.20	Metazoa
11060_metabat_res.206	Ochrophyta_Bacillariophyceae
23968_metabat_res.153	Ochrophyta_Bacillariophyceae
3245_metabat_res.97	Ochrophyta_Bacillariophyceae
10340_metabat_res.194	Ochrophyta_Chrysophyceae
17783_metabat_res.146	Ochrophyta_Chrysophyceae
18865_metabat_res.3	Ochrophyta_Chrysophyceae
21520_metabat_res.87	Ochrophyta_Chrysophyceae
25406_metabat_res.67	Ochrophyta_Chrysophyceae
25619_metabat_res.73	Ochrophyta_Chrysophyceae
31158_metabat_res.77	Ochrophyta_Chrysophyceae
31743_metabat_res.21	Ochrophyta_Chrysophyceae
33032_metabat_res.94	Ochrophyta_Chrysophyceae
GL99_UP_metabat.9	Ochrophyta_Chrysophyceae
GLR18_GL16_UP_2_metabat.47	Ochrophyta_Chrysophyceae
GLR58_GL46_UP_3_metabat.1	Ochrophyta_Chrysophyceae
10092_metabat_res.101	Streptophyta
12023_metabat_res.122	Streptophyta